|        Name |  Status |    Type |                                                                              WWN |                             IO_Ports |
|    czas0104 | offline | iSeries |                                         ['C050760409810152', 'C050760409810150'] |                                   [] |

|    czas0106 | offline | iSeries |                                         ['C050760409810156', 'C050760409810158'] |                                   [] |

|    czas0109 |  online | iSeries |                                         ['C050760926DE01D6', 'C050760926DE01D4'] |                   ['I0102', 'I0031'] |

| czas0109_i1 |  online | iSeries |                                         ['C050760926DE01D0', 'C050760926DE01D2'] |                   ['I0233', 'I0303'] |

|    czas0111 | offline | iSeries |                                         ['C050760828360002', 'C050760828360004'] |                                   [] |

|    czas0117 | offline | iSeries | ['C050760926DE005A', 'C050760926DE005B', 'C050760926DE005D', 'C050760926DE005C'] |                                   [] |

|    czas0119 | offline | iSeries | ['C050760926DE0062', 'C050760926DE0063', 'C050760926DE0061', 'C050760926DE0060'] |                                   [] |

|    czas0121 | offline | iSeries | ['C050760926DE01DD', 'C050760926DE01DC', 'C050760926DE01DB', 'C050760926DE01DA'] |                                   [] |

|    czas0126 | offline | iSeries |                                         ['C050760926DE0192', 'C050760926DE0190'] |                                   [] |

|    czas0127 | offline | iSeries |                                         ['C050760926DE019E', 'C050760926DE019C'] |                                   [] |

|    czas0128 | offline | iSeries |                                         ['C050760926DE01A4', 'C050760926DE01A2'] |                                   [] |

|    czas0129 | offline | iSeries |                                         ['C050760926DE01A8', 'C050760926DE01AA'] |                                   [] |

|    czas0130 | offline | iSeries |                                         ['C050760926DE0198', 'C050760926DE0196'] |                                   [] |

|    czas0133 | offline | iSeries |                                         ['C050760926DE01E8', 'C050760926DE01EA'] |                                   [] |

|    czas0135 | offline | iSeries |                                         ['C050760926DE01F2', 'C050760926DE01F0'] |                                   [] |

|    czas0137 | offline | iSeries |                                         ['C050760926DE01F4', 'C050760926DE01F6'] |                                   [] |

|    czas0139 | offline | iSeries |                                         ['C050760926DE01FE', 'C050760926DE01FA'] |                                   [] |

+-------------+---------+---------+----------------------------------------------------------------------------------+--------------------------------------+
